Estimator,Permuted,ev,fold,imputation_strategy,mae,modality,model_testing,mse,r2_score,target,visit
RandomForest,no,0.02131410632875186,0,,1.6473986559114957,"sMRI, dMRI, fMRI (full MRI)",validation,4.16978213018405,0.017575478033451386,Fluid intelligence,third
RandomForest,no,0.059454930493742834,0,,1.6572283330196795,"sMRI, dMRI, fMRI (full MRI)",generalization,4.242374794932339,0.059407297858082735,Fluid intelligence,third
RandomForest,no,0.03583657407936014,1,,1.6426931334657036,"sMRI, dMRI, fMRI (full MRI)",validation,4.1060658289079175,0.03502204580698931,Fluid intelligence,third
RandomForest,no,0.05861501098910449,1,,1.6581427596124985,"sMRI, dMRI, fMRI (full MRI)",generalization,4.246418566411719,0.058510738236057784,Fluid intelligence,third
RandomForest,no,0.05885097213727941,2,,1.6139002375296911,"sMRI, dMRI, fMRI (full MRI)",validation,4.008766365795725,0.052867773461765084,Fluid intelligence,third
RandomForest,no,0.058434238159475675,2,,1.6589944671638202,"sMRI, dMRI, fMRI (full MRI)",generalization,4.248675548713013,0.058010334291550676,Fluid intelligence,third
RandomForest,no,0.0670341130957417,3,,1.5694202622256304,"sMRI, dMRI, fMRI (full MRI)",validation,3.7996967290240105,0.06677727221854213,Fluid intelligence,third
RandomForest,no,0.057545478106872376,3,,1.6589134467361442,"sMRI, dMRI, fMRI (full MRI)",generalization,4.2513325776477435,0.057421234519325674,Fluid intelligence,third
RandomForest,no,0.06830064090389297,4,,1.555002375296912,"sMRI, dMRI, fMRI (full MRI)",validation,3.7001370451306417,0.06488604376306463,Fluid intelligence,third
RandomForest,no,0.0624991906641501,4,,1.6550945393312488,"sMRI, dMRI, fMRI (full MRI)",generalization,4.228870316093337,0.062401426113174674,Fluid intelligence,third
RandomForest,no,0.042089091362985664,5,,1.6838293748746906,"sMRI, dMRI, fMRI (full MRI)",validation,4.408674210472,0.03913107678332106,Fluid intelligence,third
RandomForest,no,0.061913926457289326,5,,1.656275495177312,"sMRI, dMRI, fMRI (full MRI)",generalization,4.232406913589925,0.061617313922126,Fluid intelligence,third
RandomForest,no,0.018210413133883496,6,,1.660874109263658,"sMRI, dMRI, fMRI (full MRI)",validation,4.291228997624703,0.016482373885337017,Fluid intelligence,third
RandomForest,no,0.053549702189866766,6,,1.662769304787106,"sMRI, dMRI, fMRI (full MRI)",generalization,4.269325213375032,0.05343202029959215,Fluid intelligence,third
RandomForest,no,0.06856522899228623,7,,1.667740724775919,"sMRI, dMRI, fMRI (full MRI)",validation,4.250454125690655,0.0684880015288678,Fluid intelligence,third
RandomForest,no,0.058280333873198316,7,,1.6585674484754047,"sMRI, dMRI, fMRI (full MRI)",generalization,4.248123796937865,0.058132665230749885,Fluid intelligence,third
RandomForest,no,0.006924387024257128,8,,1.5329126397766144,"sMRI, dMRI, fMRI (full MRI)",validation,3.823549790724437,0.006203383889913927,Fluid intelligence,third
RandomForest,no,0.053182446725951626,8,,1.6635174701962885,"sMRI, dMRI, fMRI (full MRI)",generalization,4.270993332860698,0.0530621753211632,Fluid intelligence,third
RandomForest,no,0.0731430019061643,9,,1.4608205822619182,"sMRI, dMRI, fMRI (full MRI)",validation,3.488698323484269,0.07248015547254161,Fluid intelligence,third
RandomForest,no,0.05988808432930004,9,,1.6572627347016746,"sMRI, dMRI, fMRI (full MRI)",generalization,4.241189644260065,0.05967006202371295,Fluid intelligence,third
RandomForest,no,0.021144369714172884,10,,1.693873013787873,"sMRI, dMRI, fMRI (full MRI)",validation,4.322348737919099,0.01845051152274701,Fluid intelligence,third
RandomForest,no,0.04807833277177065,10,,1.6701442061985987,"sMRI, dMRI, fMRI (full MRI)",generalization,4.293909129476997,0.04798142878108669,Fluid intelligence,third
RandomForest,no,0.021504587854151547,11,,1.6324306263902864,"sMRI, dMRI, fMRI (full MRI)",validation,4.15315958081114,0.021309710103003417,Fluid intelligence,third
RandomForest,no,0.05211743205701447,11,,1.6656616954005008,"sMRI, dMRI, fMRI (full MRI)",generalization,4.276256976559488,0.05189515329008931,Fluid intelligence,third
RandomForest,no,0.00778143911646223,12,,1.6476255739361951,"sMRI, dMRI, fMRI (full MRI)",validation,4.262258934661194,0.00681142971559745,Fluid intelligence,third
RandomForest,no,0.060833033053694925,12,,1.6550982491702313,"sMRI, dMRI, fMRI (full MRI)",generalization,4.236241837380365,0.06076705869836141,Fluid intelligence,third
RandomForest,no,0.0209921500312138,13,,1.6727315914489311,"sMRI, dMRI, fMRI (full MRI)",validation,4.347401843230403,0.01428437094347734,Fluid intelligence,third
RandomForest,no,0.050095779887599945,13,,1.6666480635073369,"sMRI, dMRI, fMRI (full MRI)",generalization,4.286117342314169,0.049708974907080594,Fluid intelligence,third
RandomForest,no,0.018234718948189288,14,,1.5400570071258906,"sMRI, dMRI, fMRI (full MRI)",validation,3.538727486935868,0.017830423536707052,Fluid intelligence,third
RandomForest,no,0.057977508012789565,14,,1.6583526581669472,"sMRI, dMRI, fMRI (full MRI)",generalization,4.249412283858551,0.0578469900009585,Fluid intelligence,third
RandomForest,no,0.04661156604683836,15,,1.6086135110058848,"sMRI, dMRI, fMRI (full MRI)",validation,4.0276579953274965,0.04660220798407922,Fluid intelligence,third
RandomForest,no,0.05884023864094545,15,,1.6582120739223019,"sMRI, dMRI, fMRI (full MRI)",generalization,4.245523182128325,0.0587092572173552,Fluid intelligence,third
RandomForest,no,0.02041156817126644,16,,1.7023621253846428,"sMRI, dMRI, fMRI (full MRI)",validation,4.383137837918024,0.017903486410914438,Fluid intelligence,third
RandomForest,no,0.059197974132743074,16,,1.6573593796501092,"sMRI, dMRI, fMRI (full MRI)",generalization,4.243467692602004,0.05916498744894561,Fluid intelligence,third
RandomForest,no,0.0187749498012717,17,,1.6271246281935057,"sMRI, dMRI, fMRI (full MRI)",validation,4.156032656659391,0.007329098131187872,Fluid intelligence,third
RandomForest,no,0.0588256284277634,17,,1.6574423334536892,"sMRI, dMRI, fMRI (full MRI)",generalization,4.245003530906211,0.05882447102349131,Fluid intelligence,third
RandomForest,no,0.04513945054519963,18,,1.7183943533249029,"sMRI, dMRI, fMRI (full MRI)",validation,4.817942280224892,0.03999178459001052,Fluid intelligence,third
RandomForest,no,0.05751409231129868,18,,1.6608007827715885,"sMRI, dMRI, fMRI (full MRI)",generalization,4.250961852060751,0.05750342946873,Fluid intelligence,third
RandomForest,no,0.02276636280441391,19,,1.6381757719714964,"sMRI, dMRI, fMRI (full MRI)",validation,4.1296629358669845,0.022422397786129644,Fluid intelligence,third
RandomForest,no,0.055975577269192785,19,,1.6615982679817174,"sMRI, dMRI, fMRI (full MRI)",generalization,4.258561639643974,0.05581845228398264,Fluid intelligence,third
RandomForest,no,0.06520767238274616,20,,1.6540390549630934,"sMRI, dMRI, fMRI (full MRI)",validation,4.111373383463384,0.06039398271346519,Fluid intelligence,third
RandomForest,no,0.061267446504185925,20,,1.6563258630110345,"sMRI, dMRI, fMRI (full MRI)",generalization,4.234068291597337,0.06124896362192678,Fluid intelligence,third
RandomForest,no,0.02176323637826194,21,,1.7086491049351875,"sMRI, dMRI, fMRI (full MRI)",validation,4.437281058052751,0.020126370806771376,Fluid intelligence,third
RandomForest,no,0.059171752558179413,21,,1.6591434759185781,"sMRI, dMRI, fMRI (full MRI)",generalization,4.243817651502972,0.05908739675877539,Fluid intelligence,third
RandomForest,no,0.0377627859372659,22,,1.6181755164515594,"sMRI, dMRI, fMRI (full MRI)",validation,4.042881516088341,0.0373494184406411,Fluid intelligence,third
RandomForest,no,0.05061377204017914,22,,1.6646375417982875,"sMRI, dMRI, fMRI (full MRI)",generalization,4.282830992016936,0.050437603860362216,Fluid intelligence,third
RandomForest,no,0.06425616342167106,23,,1.6305957746535178,"sMRI, dMRI, fMRI (full MRI)",validation,4.096757040029703,0.05837511472556468,Fluid intelligence,third
RandomForest,no,0.052153125441596,23,,1.6655395609483772,"sMRI, dMRI, fMRI (full MRI)",generalization,4.27535125959712,0.05209596316809173,Fluid intelligence,third
RandomForest,no,0.030865881227402307,24,,1.6209248931161155,"sMRI, dMRI, fMRI (full MRI)",validation,4.0801709135292725,0.03071796389072423,Fluid intelligence,third
RandomForest,no,0.05904525081042245,24,,1.6585331532491945,"sMRI, dMRI, fMRI (full MRI)",generalization,4.2447496034580405,0.05888077022291805,Fluid intelligence,third
RandomForest,no,0.0475725910785505,25,,1.6179097387173402,"sMRI, dMRI, fMRI (full MRI)",validation,3.969190270783848,0.04697084058002443,Fluid intelligence,third
RandomForest,no,0.06101911591309705,25,,1.6555487130141928,"sMRI, dMRI, fMRI (full MRI)",generalization,4.2361407745970645,0.060789465704113026,Fluid intelligence,third
RandomForest,no,0.04291409898968501,26,,1.7037434679334915,"sMRI, dMRI, fMRI (full MRI)",validation,4.50041603800475,0.03969719563898344,Fluid intelligence,third
RandomForest,no,0.06013296416524894,26,,1.6548472456098149,"sMRI, dMRI, fMRI (full MRI)",generalization,4.239179392831368,0.06011576234834259,Fluid intelligence,third
RandomForest,no,0.04251305347606693,27,,1.5396357556396583,"sMRI, dMRI, fMRI (full MRI)",validation,3.639241229755074,0.03686834260144012,Fluid intelligence,third
RandomForest,no,0.05837092183488424,27,,1.6574243958197616,"sMRI, dMRI, fMRI (full MRI)",generalization,4.24856541074043,0.05803475339128805,Fluid intelligence,third
RandomForest,no,0.05691157156284465,28,,1.6505463182897862,"sMRI, dMRI, fMRI (full MRI)",validation,4.189548009501188,0.056837122508599076,Fluid intelligence,third
RandomForest,no,0.05899907115313896,28,,1.6582939619918209,"sMRI, dMRI, fMRI (full MRI)",generalization,4.244912165503969,0.0588447279868034,Fluid intelligence,third
RandomForest,no,0.05259020041777407,29,,1.5974642735557996,"sMRI, dMRI, fMRI (full MRI)",validation,3.9600130789784127,0.05251925920012512,Fluid intelligence,third
RandomForest,no,0.05832000927215586,29,,1.6586130268592167,"sMRI, dMRI, fMRI (full MRI)",generalization,4.248230821818401,0.05810893634623436,Fluid intelligence,third
RandomForest,no,0.012830207234474478,30,,1.714745843230404,"sMRI, dMRI, fMRI (full MRI)",validation,4.448069586698337,0.011522121423824805,Fluid intelligence,third
RandomForest,no,0.057365102001956214,30,,1.6578147702670194,"sMRI, dMRI, fMRI (full MRI)",generalization,4.251716164541738,0.057336188041688274,Fluid intelligence,third
RandomForest,no,0.044189229510162235,31,,1.6272360503267744,"sMRI, dMRI, fMRI (full MRI)",validation,4.253746572871427,0.04101302710783916,Fluid intelligence,third
RandomForest,no,0.052036550721138775,31,,1.6636212790980711,"sMRI, dMRI, fMRI (full MRI)",generalization,4.277018350154973,0.051726346317077176,Fluid intelligence,third
RandomForest,no,0.048200241395466525,32,,1.6531298733589959,"sMRI, dMRI, fMRI (full MRI)",validation,4.15606698145044,0.04352738972345915,Fluid intelligence,third
RandomForest,no,0.059369823505937,32,,1.6572239848683064,"sMRI, dMRI, fMRI (full MRI)",generalization,4.244753843627672,0.05887983011913112,Fluid intelligence,third
RandomForest,no,0.029354370237807736,33,,1.7316462139515325,"sMRI, dMRI, fMRI (full MRI)",validation,4.6791899039463365,0.02875939186774057,Fluid intelligence,third
RandomForest,no,0.056480673528234375,33,,1.6601980571038404,"sMRI, dMRI, fMRI (full MRI)",generalization,4.256500686676336,0.05627539383547708,Fluid intelligence,third
RandomForest,no,0.041298025991746035,34,,1.6683325415676955,"sMRI, dMRI, fMRI (full MRI)",validation,4.52182073159145,0.03737811469998986,Fluid intelligence,third
RandomForest,no,0.059691850369284476,34,,1.65947558335338,"sMRI, dMRI, fMRI (full MRI)",generalization,4.243084778445995,0.05924988477134119,Fluid intelligence,third
RandomForest,no,0.052625561144530535,35,,1.672275534441805,"sMRI, dMRI, fMRI (full MRI)",validation,4.321950669833729,0.05262231543849916,Fluid intelligence,third
RandomForest,no,0.05095704141459334,35,,1.6644339668029828,"sMRI, dMRI, fMRI (full MRI)",generalization,4.281287540052921,0.05077980833866325,Fluid intelligence,third
RandomForest,no,0.046725816814859655,36,,1.6626275730001343,"sMRI, dMRI, fMRI (full MRI)",validation,4.235318244495324,0.0428934827472216,Fluid intelligence,third
RandomForest,no,0.05212690828294697,36,,1.663503023662706,"sMRI, dMRI, fMRI (full MRI)",generalization,4.275434037177239,0.052077610242778793,Fluid intelligence,third
RandomForest,no,0.03138812934419455,37,,1.6655601482318632,"sMRI, dMRI, fMRI (full MRI)",validation,4.329941590733282,0.031270288048767525,Fluid intelligence,third
RandomForest,no,0.05054065261051688,37,,1.664622576323248,"sMRI, dMRI, fMRI (full MRI)",generalization,4.283139073384453,0.05036929799396417,Fluid intelligence,third
